,instr,class,nb.repeat,attendance,difficulty,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28
567,1,10,1,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,4,5,4,5
569,1,10,1,1,3,4,4,4,3,3,4,4,4,4,3,4,3,3,4,4,4,3,3,3,2,4,3,4,3,3,3,3,3
573,1,10,1,1,4,4,3,4,3,4,3,3,3,4,4,4,4,4,3,3,3,4,4,4,3,4,4,3,4,4,4,4,5
581,1,10,3,1,5,2,2,2,3,2,1,2,3,3,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,2,3
582,1,10,1,3,3,4,4,5,5,5,4,4,4,4,5,4,4,5,4,5,5,5,4,4,4,4,5,5,4,5,5,4,5
591,1,10,2,3,3,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
592,1,10,2,2,3,4,4,4,4,4,3,3,4,2,3,4,1,4,4,3,3,5,3,3,3,3,3,4,3,4,3,3,4
597,1,10,1,1,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4
598,1,10,1,3,3,5,4,5,4,4,3,3,3,4,3,4,4,4,5,4,4,4,5,3,4,4,4,5,4,4,4,4,4
599,1,10,1,1,3,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
601,1,10,1,4,3,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,5,5,5,4,4,4,5,4,5,4,5,5,5
602,1,10,1,4,4,2,2,2,3,2,3,2,3,3,3,4,3,3,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3
605,1,10,1,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,4,3,3,5,4,3,4,5
608,1,10,1,4,3,4,5,4,4,5,3,4,4,5,5,3,3,5,4,4,3,4,5,4,3,4,5,4,5,5,4,4,4
610,1,10,1,3,3,2,4,4,2,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5
612,1,10,1,2,3,4,4,5,4,5,5,4,5,4,5,5,4,5,5,4,4,5,4,4,5,4,5,5,4,4,5,4,5
614,1,10,1,3,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
616,1,10,1,4,3,5,5,4,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
618,1,10,1,1,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,2,2,3,1,2,2,2,2,2,2,2,3
621,1,10,1,1,2,1,3,4,2,2,2,2,4,2,2,3,4,2,2,4,2,4,2,2,2,2,2,2,2,3,2,3,2
622,1,10,1,2,3,4,4,4,4,4,4,4,4,4,4,5,4,5,5,4,5,4,4,4,4,4,4,4,4,5,4,4,4
623,1,10,1,3,5,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
625,1,10,1,3,3,2,1,3,3,1,3,2,3,1,1,4,4,1,3,3,1,4,3,3,1,1,1,1,1,1,3,3,4
630,1,10,1,4,2,4,4,4,3,4,4,4,5,5,5,5,5,5,5,5,5,4,4,5,4,4,4,5,5,4,5,4,4
634,1,10,1,4,3,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
635,1,10,1,2,4,5,4,5,5,3,3,2,2,2,4,3,5,2,3,2,3,5,5,5,5,3,4,4,4,5,5,5,4
638,1,10,1,3,2,3,5,5,3,4,4,3,4,3,5,5,5,5,5,5,5,4,5,5,5,3,4,4,3,4,5,4,5
640,1,10,1,3,3,2,3,4,2,3,4,3,2,4,4,4,3,4,4,4,4,5,4,4,4,4,4,3,2,4,2,3,4
642,1,10,1,2,3,3,3,3,4,4,4,4,4,3,3,4,4,4,4,3,3,4,3,4,3,4,4,4,4,4,4,4,4
643,1,10,1,2,4,4,3,3,3,3,3,4,3,3,3,4,3,4,3,3,3,4,3,3,3,3,4,3,3,3,3,4,4
646,1,10,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,2,3
647,1,10,1,3,2,5,5,5,5,4,4,4,5,3,4,3,3,4,4,5,5,5,4,4,4,4,4,4,4,5,4,4,4
651,1,10,1,4,3,3,3,2,3,2,3,3,3,3,3,4,4,3,3,3,3,4,3,3,3,3,3,4,3,4,3,4,4
652,1,10,1,4,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5
653,1,10,1,3,4,4,4,4,3,3,3,4,4,4,4,3,3,4,4,3,3,4,3,4,3,4,4,4,3,3,3,3,3
657,1,10,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
658,1,10,1,2,3,4,2,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
659,1,10,1,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3
661,1,10,1,1,3,2,3,3,3,2,3,3,3,3,3,3,2,1,1,3,2,2,3,1,1,1,1,1,2,3,3,1,2
678,1,10,1,3,3,1,1,1,1,3,4,4,1,1,1,4,1,5,5,5,3,5,4,4,4,4,5,4,1,4,1,1,4
688,1,10,1,4,3,1,1,2,2,2,1,2,1,1,2,2,1,2,1,2,1,2,2,1,2,1,1,2,1,2,1,2,1
689,1,10,1,4,5,4,2,2,2,2,2,2,1,4,2,2,2,3,4,4,1,3,2,2,2,2,2,2,3,3,3,3,3
690,1,10,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,4,4,4,4,5,5
692,1,10,1,1,5,3,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,3,4,3,3
697,1,10,1,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,2,4
700,1,10,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
702,1,10,1,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1
703,1,10,1,1,4,2,1,2,3,4,3,3,3,4,4,3,2,3,4,3,4,2,3,4,3,3,3,3,2,3,4,3,3
713,1,10,3,3,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
716,1,10,1,2,1,4,4,4,4,4,4,4,5,5,4,5,4,5,5,4,4,5,4,4,5,5,5,4,4,4,4,4,5
719,1,10,1,1,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
722,1,10,1,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,4,4,4,4,4
725,1,10,1,1,5,3,3,3,3,3,3,3,4,4,4,5,3,2,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5
737,1,10,1,4,3,5,5,5,5,4,5,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
739,1,10,1,3,4,4,3,4,3,4,3,4,3,4,3,4,3,4,4,4,4,4,4,3,3,3,3,4,3,4,3,4,3
743,1,10,2,1,2,2,3,2,2,3,2,2,3,2,2,2,2,3,2,2,3,2,2,3,2,3,2,3,2,2,2,3,2
751,1,10,1,3,3,2,3,2,3,2,3,4,3,2,3,3,4,3,2,2,3,3,3,4,3,3,3,3,4,4,2,2,2
752,1,10,1,3,3,4,4,4,3,5,4,4,4,4,4,5,5,5,5,5,4,5,4,3,3,2,2,3,3,3,3,3,3
764,1,10,1,3,4,4,4,4,4,5,4,4,4,4,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,4,4,4
773,1,10,1,4,3,4,4,4,5,4,4,4,4,5,5,4,5,5,5,4,4,5,5,4,5,4,4,4,4,5,5,4,5
774,1,10,1,1,3,4,4,3,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
775,2,1,1,3,3,2,4,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
777,2,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5
782,2,1,1,2,2,2,3,3,3,3,3,3,3,4,3,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
783,2,1,1,4,2,3,4,4,4,3,2,2,2,5,3,3,2,4,4,4,3,4,4,4,3,4,3,3,3,4,4,1,3
784,2,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
785,2,1,1,3,3,4,4,4,2,4,4,4,4,5,5,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
787,2,1,1,1,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
788,2,1,1,2,1,3,3,3,3,3,3,3,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,5
789,2,1,1,3,4,3,4,4,4,3,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,3,5,5
790,2,1,1,2,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
792,2,1,1,1,2,1,2,3,4,4,3,4,3,2,3,1,2,3,4,2,3,4,4,2,3,3,2,3,4,5,4,2,1
794,2,1,1,3,3,2,2,3,3,2,2,2,2,4,4,4,3,4,4,3,4,4,3,4,4,4,3,4,4,4,4,4,4
799,2,1,1,3,2,4,4,4,4,4,4,4,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
801,2,1,1,1,2,2,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
803,2,1,1,4,3,4,3,4,4,4,3,3,3,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,3,4,5,3,4
805,2,1,1,3,2,4,5,5,4,4,4,5,5,4,4,5,5,5,4,4,5,5,4,5,4,5,5,5,5,4,5,4,5
806,2,1,1,3,3,3,3,2,3,4,4,4,4,2,4,3,4,5,5,4,4,5,5,5,5,5,5,4,5,4,4,2,5
808,2,1,1,1,2,4,4,4,4,3,2,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,1,5
812,2,1,1,4,3,4,4,4,4,3,4,4,2,5,4,5,1,4,4,4,5,5,5,5,5,5,5,4,3,5,3,5,5
813,2,1,1,1,4,2,2,2,2,2,2,2,2,2,2,2,2,3,3,1,3,3,3,3,3,3,1,1,1,1,1,1,3
814,2,1,1,4,1,2,2,3,2,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
816,2,1,1,2,1,1,1,4,1,1,1,1,1,5,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
817,2,1,1,3,4,4,4,4,5,4,5,4,5,4,5,4,5,5,4,5,5,5,4,5,3,4,4,5,4,4,4,4,4
825,2,1,1,4,3,3,4,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
831,2,1,1,2,3,3,3,2,3,2,2,2,3,2,2,2,2,4,4,4,3,4,4,4,4,4,4,4,2,4,4,3,4
834,2,1,1,2,5,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
841,2,1,1,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
843,2,1,1,1,2,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
847,2,1,2,2,3,4,4,4,4,4,4,4,3,4,4,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
851,2,1,1,2,3,2,2,3,2,3,3,4,4,3,3,4,3,3,3,2,3,4,3,4,4,3,3,3,3,3,4,4,3
858,2,1,1,2,3,2,4,4,2,4,4,4,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
864,2,1,1,2,5,4,3,3,4,4,3,3,4,3,2,4,4,4,4,4,4,4,4,4,4,3,2,2,2,2,3,3,3
870,2,1,2,4,1,1,1,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
873,2,1,1,3,2,1,3,5,1,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
877,2,1,1,3,2,2,2,4,2,2,2,2,2,2,2,4,2,4,4,3,3,4,3,3,3,3,2,2,3,3,3,2,4
878,2,1,1,2,3,2,3,3,3,4,3,4,4,2,3,3,2,4,4,4,4,4,4,3,3,4,4,3,3,4,4,2,4
884,2,1,1,3,2,3,4,5,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5
887,2,1,1,4,3,2,3,3,2,4,2,3,2,4,3,4,3,4,4,4,4,5,4,4,4,4,4,3,3,3,4,3,4
888,2,1,1,4,2,4,3,4,3,4,4,3,2,2,4,2,1,2,3,4,4,4,4,5,5,5,4,3,3,4,5,5,4
889,2,1,1,3,3,3,3,2,4,2,2,2,2,3,2,4,2,2,4,4,3,4,4,3,3,4,4,3,2,4,4,1,4
890,2,1,1,4,3,2,2,2,2,2,2,2,2,4,2,3,2,2,2,3,2,4,3,3,3,3,3,2,2,3,3,2,3
892,2,1,1,4,1,3,3,4,3,4,4,4,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4
894,2,1,1,4,4,2,2,2,2,3,3,3,3,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3
895,2,1,1,3,3,3,4,4,4,3,2,3,2,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3
896,2,1,1,3,1,3,3,4,3,4,4,4,3,3,4,3,2,2,3,3,4,4,3,3,4,4,3,3,3,3,4,4,4
897,2,1,2,2,3,1,1,3,3,1,5,1,1,3,1,4,1,4,4,4,4,4,4,3,2,4,4,1,1,1,4,1,4
898,2,1,1,2,3,3,2,2,2,2,2,2,2,4,2,3,3,3,3,3,3,4,3,4,3,3,3,2,2,3,2,2,3
899,2,1,1,4,3,2,3,3,2,2,2,2,2,2,2,4,3,3,3,3,2,3,2,3,2,2,3,2,2,2,3,2,3
900,2,1,1,2,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,4,3,4,4
902,2,1,1,4,3,1,5,4,1,4,4,4,3,5,5,5,5,5,4,4,5,5,5,4,5,5,5,4,5,3,5,1,5
903,2,1,1,1,3,4,4,4,5,3,4,4,3,5,5,4,5,5,4,4,3,4,4,5,4,4,5,5,5,4,5,4,4
906,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
908,2,1,1,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
912,2,1,1,1,3,4,3,4,4,3,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
913,2,1,2,3,3,3,3,2,3,4,3,3,3,4,3,4,3,3,3,4,3,2,3,3,4,3,3,2,3,3,3,2,3
914,2,1,1,3,4,4,4,4,3,4,4,4,4,4,4,4,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,3
916,2,1,1,3,3,3,3,3,4,3,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
920,2,1,1,4,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
923,2,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3
927,2,1,1,4,3,3,2,4,1,2,2,3,3,4,2,2,2,4,4,4,3,4,4,2,4,5,4,4,2,4,3,2,4
930,2,1,1,3,3,4,4,4,4,4,4,4,3,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,3,4,4,3,5
935,2,1,2,2,4,3,3,3,3,3,3,3,2,3,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
936,2,1,1,3,3,5,5,5,5,5,4,5,3,4,5,5,3,5,5,5,3,5,5,5,5,5,5,5,4,5,5,5,5
938,2,1,1,4,2,3,2,3,2,2,2,2,3,2,3,2,3,2,3,2,2,2,2,2,2,3,4,2,4,4,4,4,4
940,2,1,1,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,2,3,2,2,4,2,3,3,2,4,4,4
944,2,1,1,1,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
948,2,1,1,4,3,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
953,2,1,1,2,3,3,3,3,3,3,2,3,2,4,3,4,4,3,3,3,3,4,4,4,4,4,4,3,2,3,2,2,3
956,2,1,1,3,3,1,4,3,3,3,3,3,3,3,3,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
958,2,1,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4
962,2,1,1,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
963,2,1,3,2,4,1,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
964,2,1,1,2,5,5,5,5,5,5,5,4,3,3,3,4,5,5,4,3,3,3,3,4,4,5,5,5,4,4,4,4,4
971,2,1,1,2,3,1,3,3,4,3,4,3,2,4,1,3,2,1,2,4,2,5,2,3,2,2,3,4,3,2,2,3,3
972,2,1,1,1,3,2,3,2,3,2,2,2,2,4,1,3,3,3,3,3,2,4,4,3,3,3,3,3,2,3,2,2,4
977,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3,2,2,2,2
979,2,1,1,3,3,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4
980,2,1,2,1,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3
981,2,1,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,3,4,4,3,3,4,4,5,4,4
982,2,1,1,2,3,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4
984,2,1,2,1,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
990,2,1,1,4,2,5,5,5,5,4,4,4,5,5,5,5,5,5,5,4,4,4,5,5,4,4,5,5,4,4,4,4,5
993,2,1,1,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5
995,2,1,1,4,4,2,4,3,4,4,2,4,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,3,2,4,2,2,4
1002,2,1,1,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1003,2,1,1,1,3,4,4,3,3,4,3,4,4,4,4,4,3,4,4,4,4,3,3,4,4,4,4,3,3,3,3,3,3
1005,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,3
1009,2,1,1,1,2,1,1,2,1,2,1,2,1,2,2,2,2,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1
1011,2,1,1,1,1,3,2,3,3,4,3,2,3,3,3,2,3,2,2,2,3,3,3,3,3,4,3,3,3,3,3,4,4
1012,2,1,1,4,3,5,5,5,5,2,2,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1018,2,1,1,4,3,1,5,4,1,4,4,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1025,2,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,4,5,4,5,4,5
1031,2,1,1,1,4,4,4,4,4,4,4,3,3,2,4,4,1,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4
1033,2,1,1,3,3,2,2,5,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1042,2,1,1,3,2,4,4,4,5,4,5,4,5,4,4,4,5,5,4,4,5,5,5,4,5,4,4,5,5,5,4,5,5
1046,2,1,1,2,2,3,4,3,2,4,4,3,4,4,3,4,3,4,4,3,4,3,4,5,4,4,4,3,4,5,4,4,3
1047,2,1,1,1,3,3,4,4,4,4,3,3,2,4,4,5,4,4,4,4,4,4,4,4,4,2,4,4,4,3,5,4,4
1048,2,1,1,3,3,4,4,4,4,4,4,3,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4
1056,2,1,1,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1064,2,1,1,4,3,4,4,4,4,3,4,4,4,4,4,3,4,3,4,3,3,4,3,4,3,4,3,4,3,3,4,3,4
1065,2,1,2,1,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1073,2,1,1,3,3,5,4,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1076,2,1,1,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1079,2,6,1,3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5
1080,2,6,2,3,2,1,2,3,3,3,3,3,3,2,3,4,1,4,4,4,5,4,4,3,3,3,4,3,2,3,5,1,5
1081,2,6,1,3,3,1,3,3,2,3,3,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1083,2,6,2,3,2,1,2,4,1,3,4,4,2,3,2,1,3,4,4,4,3,4,4,4,3,3,4,3,2,2,3,1,4
1086,2,6,1,3,4,1,3,2,3,1,1,1,2,4,2,3,5,3,5,5,3,5,4,4,5,5,5,5,5,5,3,4,5
1087,2,6,1,3,2,3,3,3,4,3,3,1,1,5,4,5,4,4,4,4,4,5,4,5,5,5,5,4,3,4,4,4,4
1088,2,6,1,4,3,1,4,1,4,1,1,1,1,5,1,4,4,4,4,4,3,5,4,4,3,5,4,2,2,5,1,1,4
1089,2,6,1,1,2,2,2,4,2,5,2,2,2,4,3,3,4,4,4,4,4,4,4,4,3,4,4,3,3,3,4,3,4
1090,2,6,1,4,3,1,4,3,3,2,2,3,2,5,3,3,1,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4
1091,2,6,1,4,3,1,4,3,4,3,2,2,2,4,3,3,2,4,4,4,4,4,4,4,4,4,4,3,4,4,3,2,5
1092,2,6,1,4,2,3,3,5,4,5,5,5,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,5
1093,2,6,1,4,2,4,3,3,3,3,3,2,2,4,3,3,3,3,4,4,3,4,4,4,4,4,4,4,2,4,2,3,4
1094,2,6,1,4,2,4,4,5,5,5,4,3,3,3,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,4,5,2,4
1097,2,6,1,1,3,1,2,1,4,2,1,3,2,1,1,1,4,4,5,4,3,3,5,5,4,5,5,4,3,5,4,2,3
1103,2,6,1,1,2,3,3,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,5,5,5,5,4,4,4,4,4
1108,2,6,1,4,1,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1110,2,6,2,4,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3
1112,2,6,1,3,2,1,2,4,3,4,2,2,2,3,3,2,2,4,4,4,4,4,4,4,4,4,3,3,3,4,1,2,3
1115,2,6,1,4,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1118,2,6,1,2,1,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1120,2,6,1,3,2,5,4,4,4,4,4,4,2,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,3
1122,2,6,1,1,1,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2
1126,2,6,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1128,2,6,1,4,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1131,2,6,2,2,3,3,3,3,3,3,3,3,3,3,4,3,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1135,2,6,1,4,1,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1136,2,6,1,4,2,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1138,2,6,1,1,2,2,2,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1139,2,6,2,1,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1143,2,6,1,4,3,3,2,3,3,3,2,2,2,5,4,3,1,5,5,5,5,5,5,4,4,4,5,5,3,3,2,2,3
1144,2,6,1,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4
1149,2,6,1,4,2,1,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1152,2,6,2,4,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1155,2,6,1,2,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1167,2,6,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4
1174,2,6,1,2,3,5,5,5,4,4,5,4,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1175,2,6,1,3,4,1,2,2,3,5,2,2,3,3,2,3,2,2,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2
1177,2,6,1,1,4,3,3,3,4,3,3,3,3,3,3,2,2,2,3,2,2,2,2,2,2,4,2,2,2,2,2,2,2
1178,2,6,1,4,3,5,5,5,5,5,5,5,4,4,4,5,5,4,4,5,5,5,5,4,4,4,4,4,4,5,5,4,4
